"LEVEL_3_CO"	"SpecName"
"ZAI"	"Accipiter castanilius"
"LSI"	"Accipiter cirrocephalus"
"NSW"	"Accipiter cirrocephalus"
"NTA"	"Accipiter cirrocephalus"
"NWG"	"Accipiter cirrocephalus"
"QLD"	"Accipiter cirrocephalus"
"SOA"	"Accipiter cirrocephalus"
"TAS"	"Accipiter cirrocephalus"
"VIC"	"Accipiter cirrocephalus"
"WAU"	"Accipiter cirrocephalus"
"CLM"	"Accipiter collaris"
"ECU"	"Accipiter collaris"
"PER"	"Accipiter collaris"
"ABT"	"Accipiter cooperii"
"ALA"	"Accipiter cooperii"
"ARI"	"Accipiter cooperii"
"ARK"	"Accipiter cooperii"
"BRC"	"Accipiter cooperii"
"CAL"	"Accipiter cooperii"
"CNT"	"Accipiter cooperii"
"COL"	"Accipiter cooperii"
"DEL"	"Accipiter cooperii"
"FLA"	"Accipiter cooperii"
"GEO"	"Accipiter cooperii"
"IDA"	"Accipiter cooperii"
"ILL"	"Accipiter cooperii"
"INI"	"Accipiter cooperii"
"IOW"	"Accipiter cooperii"
"KAN"	"Accipiter cooperii"
"KTY"	"Accipiter cooperii"
"LOU"	"Accipiter cooperii"
"MAI"	"Accipiter cooperii"
"MAN"	"Accipiter cooperii"
"MAS"	"Accipiter cooperii"
"MIC"	"Accipiter cooperii"
"MIN"	"Accipiter cooperii"
"MNT"	"Accipiter cooperii"
"MRY"	"Accipiter cooperii"
"MSI"	"Accipiter cooperii"
"MSO"	"Accipiter cooperii"
"MXE"	"Accipiter cooperii"
"MXN"	"Accipiter cooperii"
"NBR"	"Accipiter cooperii"
"NCA"	"Accipiter cooperii"
"NDA"	"Accipiter cooperii"
"NEB"	"Accipiter cooperii"
"NEV"	"Accipiter cooperii"
"NWH"	"Accipiter cooperii"
"NWJ"	"Accipiter cooperii"
"NWM"	"Accipiter cooperii"
"NWY"	"Accipiter cooperii"
"OHI"	"Accipiter cooperii"
"OKL"	"Accipiter cooperii"
"ONT"	"Accipiter cooperii"
"ORE"	"Accipiter cooperii"
"PEN"	"Accipiter cooperii"
"QUE"	"Accipiter cooperii"
"RHO"	"Accipiter cooperii"
"SAS"	"Accipiter cooperii"
"SCA"	"Accipiter cooperii"
"SDA"	"Accipiter cooperii"
"TEN"	"Accipiter cooperii"
"TEX"	"Accipiter cooperii"
"UTA"	"Accipiter cooperii"
"VER"	"Accipiter cooperii"
"VRG"	"Accipiter cooperii"
"WAS"	"Accipiter cooperii"
"WDC"	"Accipiter cooperii"
"WIS"	"Accipiter cooperii"
"WVA"	"Accipiter cooperii"
"WYO"	"Accipiter cooperii"
"MOL"	"Accipiter erythrauchen"
"ANG"	"Accipiter erythropus"
"BEN"	"Accipiter erythropus"
"BKN"	"Accipiter erythropus"
"CAB"	"Accipiter erythropus"
"CAF"	"Accipiter erythropus"
"CMN"	"Accipiter erythropus"
"CON"	"Accipiter erythropus"
"EQG"	"Accipiter erythropus"
"GAB"	"Accipiter erythropus"
"GAM"	"Accipiter erythropus"
"GHA"	"Accipiter erythropus"
"GNB"	"Accipiter erythropus"
"GUI"	"Accipiter erythropus"
"IVO"	"Accipiter erythropus"
"LBR"	"Accipiter erythropus"
"NGA"	"Accipiter erythropus"
"NGR"	"Accipiter erythropus"
"SEN"	"Accipiter erythropus"
"SIE"	"Accipiter erythropus"
"TOG"	"Accipiter erythropus"
"ZAI"	"Accipiter erythropus"
"LSI"	"Accipiter fasciatus"
"MOL"	"Accipiter fasciatus"
"NSW"	"Accipiter fasciatus"
"NTA"	"Accipiter fasciatus"
"NWC"	"Accipiter fasciatus"
"NWG"	"Accipiter fasciatus"
"QLD"	"Accipiter fasciatus"
"SOA"	"Accipiter fasciatus"
"SOL"	"Accipiter fasciatus"
"SUL"	"Accipiter fasciatus"
"TAS"	"Accipiter fasciatus"
"VAN"	"Accipiter fasciatus"
"VIC"	"Accipiter fasciatus"
"WAU"	"Accipiter fasciatus"
"XMS"	"Accipiter fasciatus"
"COM"	"Accipiter francesiae"
"MDG"	"Accipiter francesiae"
"ABT"	"Accipiter gentilis"
"ALB"	"Accipiter gentilis"
"ALT"	"Accipiter gentilis"
"AMU"	"Accipiter gentilis"
"ARI"	"Accipiter gentilis"
"ASK"	"Accipiter gentilis"
"AUT"	"Accipiter gentilis"
"BGM"	"Accipiter gentilis"
"BLR"	"Accipiter gentilis"
"BLT"	"Accipiter gentilis"
"BRC"	"Accipiter gentilis"
"BRY"	"Accipiter gentilis"
"BUL"	"Accipiter gentilis"
"CAL"	"Accipiter gentilis"
"CHC"	"Accipiter gentilis"
"CHI"	"Accipiter gentilis"
"CHM"	"Accipiter gentilis"
"CHN"	"Accipiter gentilis"
"CHQ"	"Accipiter gentilis"
"CHT"	"Accipiter gentilis"
"CNT"	"Accipiter gentilis"
"COL"	"Accipiter gentilis"
"COR"	"Accipiter gentilis"
"CTA"	"Accipiter gentilis"
"CYP"	"Accipiter gentilis"
"CZE"	"Accipiter gentilis"
"DEN"	"Accipiter gentilis"
"EAI"	"Accipiter gentilis"
"EHM"	"Accipiter gentilis"
"FIN"	"Accipiter gentilis"
"FRA"	"Accipiter gentilis"
"GER"	"Accipiter gentilis"
